Designator,MidX,MidY,Layer,Rotation
C1,76.435,-93.9875,bottom,90
C2,27.0105,-68.82,bottom,0
C3,49.3625,-19.925,bottom,180
C4,35.795,-63.5075,bottom,90
C5,35.795,-39.3775,bottom,90
C6,76.435,-83.8275,bottom,90
C7,34.525,-51.6965,bottom,90
C8,34.525,-74.9375,bottom,90
C9,51.035,-39.61,bottom,90
C10,51.035,-49.5375,bottom,90
C11,34.525,-91.4475,bottom,90
C12,76.435,-53.3475,bottom,90
C13,76.435,-63.5075,bottom,90
C14,26.9265,-52.945,bottom,0
C15,62.6975,-74.535,bottom,0
C16,49.765,-64.0155,bottom,90
C17,76.435,-73.5325,bottom,90
C18,95.7175,-58.66,bottom,0
C19,95.7175,-73.9,bottom,0
C20,38.5675,-56.755,bottom,180
C21,43.6475,-46.595,bottom,0
C22,77.959,-43.5255,bottom,90
C23,68.905,-30.73,bottom,180
J1,98.655,-27.180008,bottom,-90
J2,61.595,-112.776,bottom,0
R1,31.731,-35.562,bottom,-90
R2,29.572,-35.562,bottom,-90
R3,34.16,-56.755,bottom,0
R4,66.259,-52.564,bottom,0
R5,48.225,-46.595,bottom,0
R6,27.413,-35.562,bottom,90
R7,25.254,-35.562,bottom,90
R8,87.155,-21.73,bottom,90
R9,87.405,-30.73,bottom,90
R10,85.155,-30.73,bottom,-90
R11,82.905,-30.73,bottom,90
U1,61.83,-63.54,bottom,-90
U2,26.905,-75.17,bottom,180
U3,84.055,-43.612,bottom,-90
U4,42.145,-63.675,bottom,-90
U5,42.78,-39.61,bottom,-90
U6,83.42,-84.125,bottom,-90
U7,41.51,-51.74,bottom,-90
U8,42.78,-75.6,bottom,-90
U9,57.385,-39.675,bottom,-90
U10,57.385,-49.705,bottom,-90
U11,42.78,-91.68,bottom,-90
U12,83.42,-53.645,bottom,-90
U13,83.42,-63.805,bottom,-90
U14,26.84,-59.295,bottom,180
U15,61.195,-81.52,bottom,180
U16,68.655,-24.23,bottom,180
U17,83.42,-73.865,bottom,-90
U18,95.55,-65.01,bottom,180
U19,95.485,-80.25,bottom,180
U20,83.42,-94.155,bottom,-90
U21,81.0425,-24.43,bottom,180
X1,57.385,-31.99,bottom,180
